datetime,pickup_location,drop_location,distance_km,weather,eta_minutes,surge_multiplier,Traffic Index,Demand Index,weekend,special_events,hour,pickup_category,drop_category,pickup_coordinate,drop_coordinate
2024-11-04 07:28:00,West Patel Nagar,Bhikaji Cama Place,18.37,Clear,59.78,2.19,31.09,47.41,0,1,7,Residential Areas,Commercial & Industrial Areas,"28.66, 77.175","28.5638, 77.207"
2025-01-27 13:05:00,Sector 62 (Noida),Defence Colony Market,20.99,Fog,42.23,1.78,14.36,23.32,0,0,13,Commercial & Industrial Areas,Commercial & Industrial Areas,"28.6187, 77.3634","28.5746, 77.2365"
2024-12-18 09:04:00,Ghaziabad (UP),"Cinépolis, Janakpuri South",44.41,Clear,103.33,2.55,84.39,52.67,0,0,9,Residential Areas,Commercial & Industrial Areas,"28.6705, 77.4324","28.6315, 77.0988"
2025-01-30 15:25:00,Okhla Industrial Estate,Delhi University (South Campus),13.81,Fog,38.09,2.36,55.1,50.66,0,0,15,Highways & Borders,Educational Institutions,"28.5395, 77.2713","28.5459, 77.1965"
2025-02-21 05:20:00,Rohini Sector 7,Kamla Nagar,20.86,Clear,46.65,2.42,43.91,60.05,0,0,5,Residential Areas,Residential Areas,"28.7112, 77.1009","28.675, 77.23"
2025-01-16 02:31:00,Rajiv Chowk Metro Station,Gurgaon (Haryana),37.2,Clear,82.07,1.91,22.65,29.39,0,0,2,Transit Hubs,Residential Areas,"28.6322, 77.2185","28.4595, 77.0266"
2024-12-02 01:43:00,Dwarka Sector 10,Ashok Vihar Phase 1,26.12,Clear,57.85,1.75,26.06,16.21,0,0,1,Residential Areas,Residential Areas,"28.6044, 77.0396","28.7121, 77.1718"
2024-11-29 13:31:00,Barakhamba Road Metro Station,Greater Kailash II (M Block Market),17.18,Clear,47.26,1.78,10.17,24.93,0,0,13,Transit Hubs,Residential Areas,"28.6288, 77.2238","28.5388, 77.241"
2024-11-05 00:00:00,Red Fort,Tikri Border,51.19,Rain,130.04,1.78,26.55,17.76,0,0,0,Tourist Spots,Highways & Borders,"28.6562, 77.2391","28.6766, 76.8453"
2025-01-10 17:28:00,Bhikaji Cama Place,Patel Nagar,18.87,Rain,46.17,2.54,81.57,53.26,0,0,17,Commercial & Industrial Areas,Residential Areas,"28.5638, 77.207","28.665, 77.18"
2024-11-29 02:18:00,West Patel Nagar,Vasundhara Enclave,19.74,Fog,56.21,1.5,6.9,4.76,0,0,2,Residential Areas,Residential Areas,"28.66, 77.175","28.6186, 77.2917"
2025-01-22 19:45:00,Nehru Place,Janakpuri Block C,25.64,Clear,95.29,2.29,67.48,40.3,0,0,19,Commercial & Industrial Areas,Residential Areas,"28.5499, 77.2485","28.6315, 77.0988"
2024-11-27 04:29:00,Lotus Temple,Janakpuri Block C,26.49,Humid,60.96,2.93,46.73,98.15,0,1,4,Tourist Spots,Residential Areas,"28.5527, 77.2588","28.6315, 77.0988"
2024-12-11 04:07:00,Botanical Garden Metro Station,Mayur Vihar Phase II,11.21,Rain,30.17,2.16,45.81,39.34,0,0,4,Transit Hubs,Residential Areas,"28.5647, 77.3392","28.601, 77.306"
